No.overall,Directed by,No. inseason,Original air date,Prod.code,Title,U.S. viewers(millions),Written and storyboarded by
90,Joe Johnston (supervising)Jasmin Lai (art),12,"July 25, 2016",1031-091,"""Restaurant Wars""",1.51,Lamar Abrams and Katie Mitroff
91,Joe Johnston (supervising)Jasmin Lai (art),13,"July 26, 2016",1031-092,"""Kiki's Pizza Delivery Service""",1.31,Colin Howard and Jeff Liu
92,Kat Morris (supervising)Jasmin Lai (art),14,"July 27, 2016",1031-093,"""Monster Reunion""",1.38,Raven M. Molisee and Paul Villeco
93,Kat Morris (supervising)Jasmin Lai (art),15,"July 28, 2016",1031-094,"""Alone at Sea""",1.32,"Hilary Florido, Kat Morris, and Rebecca Sugar"
94,Joe Johnston (supervising)Jasmin Lai (art),16,"July 29, 2016",1031-095,"""Greg the Babysitter""",1.31,Lamar Abrams and Katie Mitroff
95,Joe Johnston (supervising)Jasmin Lai (art),17,"August 1, 2016",1031-096,"""Gem Hunt""",1.64,Colin Howard and Jeff Liu
96,Kat Morris (supervising)Jasmin Lai (art),18,"August 2, 2016",1031-097,"""Crack the Whip""",1.90,Raven M. Molisee and Paul Villeco
97,Kat Morris (supervising)Jasmin Lai (art),19,"August 3, 2016",1031-098,"""Steven vs. Amethyst""",1.74,Hilary Florido and Jesse Zuke
98,Joe Johnston (supervising)Jasmin Lai (art),20,"August 4, 2016",1031-099,Bismuth (Part 1),2.15,"Lamar Abrams, Colin Howard, Jeff Liu, and Katie Mitroff"
99,Joe Johnston and Jasmin Lai,21,"August 4, 2016",1031-100,"""Bismuth (Part 2)""",2.15,"Lamar Abram, Colin Howard, Jeff Liu and Katie Mitroff"
100,Kat Morris (supervising)Ricky Cometa (art),22,"August 8, 2016[nb 10]",1031-101,"""Beta"" (Part 1)",1.99,Hilary Florido and Jesse Zuke
101,Kat Morris (supervising)Ricky Cometa (art),23,"August 8, 2016",1031-102,"""Earthlings"" (Part 2)",1.99,Raven M. Molisee and Paul Villeco
102,Joe Johnston (supervising)Ricky Cometa (art),24,"August 9, 2016",1031-103,"""Back to the Moon""",1.45,Lamar Abrams and Katie Mitroff
103,Joe Johnston (supervising)Ricky Cometa (art),25,"August 10, 2016",1031-104,"""Bubbled""",1.57,Colin Howard and Jeff Liu
104,Kat Morris (supervising)Ricky Cometa (art),1,"August 11, 2016",1040-105,"""Kindergarten Kid""",1.32,Raven M. Molisee and Paul Villeco
105,Kat Morris (supervising)Ricky Cometa (art),2,"August 12, 2016",1040-106,"""Know Your Fusion""",1.35,Hilary Florido and Jesse Zuke
106,Joe Johnston (supervising)Ricky Cometa (art),3,"August 18, 2016",1040-107,"""Buddy's Book""",1.37,Lamar Abrams and Katie Mitroff
107,Joe Johnston (supervising)Ricky Cometa (art),4,"August 25, 2016",1040-108,"""Mindful Education""",1.33,"Colin Howard, Jeff Liu, and Takafumi Hori"
108,Kat Morris (supervising)Ricky Cometa (art),5,"September 1, 2016",1040-109,"""Future Boy Zoltron""",1.36,Raven M. Molisee and Paul Villeco
109,Kat Morris (supervising)Ricky Cometa (art),6,"September 8, 2016",1040-110,"""Last One Out of Beach City""",1.31,Hilary Florido and Jesse Zuke
110,Joe Johnston (supervising)Ricky Cometa (art),7,"September 15, 2016",1040-111,"""Onion Gang""",1.26,Lamar Abrams and Katie Mitroff
111,Kat Morris (supervising)Ricky Cometa (art),8,"November 17, 2016",1040-113,Gem Harvest (Part 1),1.39,"Raven M. Molisee, Paul Villeco, Hilary Florido, and Jesse Zuke"
112,Kat Morris and Ricky Cometa,9,"November 17, 2016",1040-114,"""Gem Harvest (Part 2)""",1.39,"Raven M. Molisee, Paul Villeco, Hilary Florido, and Jesse Zuke"
113,Joe Johnston (supervising)Ricky Cometa (art),10,"December 1, 2016",1040-115,"""Three Gems and a Baby""",1.29,Lamar Abrams and Katie Mitroff
114,Joe Johnston (supervising)Ricky Cometa (art),11,"January 30, 2017[nb 11]",1040-116,"""Steven's Dream""",1.36,Jeff Liu and Colin Howard
