,No.overall,Directed by,No. inseason,date,Prod.code,episode,Viewers_millions,Written and storyboarded by
24,25,Ian Jones-Quartey (supervising)Elle Michalka (art),25,2014-09-25,1020-025,"""Mirror Gem"" (Part 1)",2.34,Raven M. Molisee and Paul Villeco
25,26,Ian Jones-Quartey (supervising)Elle Michalka (art),26,2014-09-25,1020-026,"""Ocean Gem"" (Part 2)",2.34,Joe Johnston and Jeff Liu
26,27,Ian Jones-Quartey (supervising)Elle Michalka (art),27,2014-10-02,1026-027,"""House Guest""",2.0,Lamar Abrams and Hellen Jo
27,28,Ian Jones-Quartey (supervising)Elle Michalka (art),28,2014-10-09,1026-028,"""Space Race""",1.99,Joe Johnston and Jeff Liu
28,29,Ian Jones-Quartey (supervising)Elle Michalka (art),29,2014-10-16,1026-030,"""Secret Team""",2.46,Hilary Florido and Katie Mitroff
29,30,Ian Jones-Quartey (supervising)Elle Michalka (art),30,2014-10-23,1026-033,"""Island Adventure""",1.53,Raven M. Molisee and Paul Villeco
30,31,Ian Jones-Quartey (supervising)Elle Michalka (art),31,2014-10-30,1026-029,"""Keep Beach City Weird""",1.45,Raven M. Molisee and Paul Villeco
31,32,Ian Jones-Quartey (supervising)Elle Michalka (art),32,2014-11-06,1026-031,"""Fusion Cuisine""",1.46,Lamar Abrams and Hellen Jo
32,33,Ian Jones-Quartey (supervising)Elle Michalka (art),33,2014-11-13,1026-036,"""Garnet's Universe""",1.64,Joe Johnston and Jeff Liu
33,34,Ian Jones-Quartey (supervising)Elle Michalka (art),34,2014-11-20,1026-035,"""Watermelon Steven""",1.83,Lamar Abrams and Hellen Jo
34,35,Ian Jones-Quartey (supervising)Elle Michalka (art),35,2014-12-04,1026-032,"""Lion 3: Straight to Video""",1.92,"Joe Johnston, Jeff Liu, and Rebecca Sugar"
35,36,Ian Jones-Quartey (supervising)Elle Michalka (art),36[4],2015-01-15,1026-034,"""Alone Together""[nb 2]",1.67,"Hilary Florido, Katie Mitroff, and Rebecca Sugar"
36,37,Ian Jones-Quartey (supervising)Elle Michalka (art),37[4],2015-01-08,1026-037,"""Warp Tour""[nb 2]",1.94,Raven M. Molisee and Paul Villeco
37,38,Ian Jones-Quartey (supervising)Elle Michalka (art),38,2015-01-22,1026-038,"""The Test""",1.94,Hilary Florido and Katie Mitroff
38,39,Ian Jones-Quartey (supervising)Elle Michalka (art),39,2015-01-29,1026-039,"""Future Vision""",2.03,Lamar Abrams and Hellen Jo
39,40,Ian Jones-Quartey (supervising)Elle Michalka (art),40,2015-02-05,1026-040,"""On the Run""",2.08,Joe Johnston and Jeff Liu
40,41,Ian Jones-Quartey (supervising)Elle Michalka (art),41,2015-02-12,1026-041,"""Horror Club""",1.67,Raven M. Molisee and Paul Villeco
41,42,Ian Jones-Quartey (supervising)Elle Michalka (art),42,2015-02-19,1026-043,"""Winter Forecast""",2.05,Lamar Abrams and Hellen Jo
42,43,Ian Jones-Quartey (supervising)Elle Michalka (art),43,2015-02-26,1026-042,"""Maximum Capacity""",1.97,"Hilary Florido, Katie Mitroff, and Rebecca Sugar"
43,44,Ian Jones-Quartey (supervising)Elle Michalka (art),44,2015-03-05,1026-044,"""Marble Madness""",1.92,Joe Johnston and Jeff Liu
44,45,Ian Jones-Quartey (supervising)Elle Michalka (art),45,2015-03-09,1026-045,"""Rose's Scabbard""",1.22,"Raven M. Molisee, Paul Villeco, and Rebecca Sugar"
